company_key,combo_score,z_combo,z_mom,z_growth,z_value,mom_12_1,rev_qoq_growth,rev_yoy_growth,eps_qoq_growth,eps_yoy_growth,z_rev_qoq_growth,z_rev_yoy_growth,z_eps_qoq_growth,z_eps_yoy_growth,earnings_yield,book_to_price,fcf_yield,z_earnings_yield,z_book_to_price,z_fcf_yield,mktcap,weight
NEM,0.793502665489902,-0.28053387965287496,0.9671403601232044,0.93285909592782,0.4805085404186818,0.8070294985631388,0.07172191258433558,0.45848303393213574,1.5210084033613445,0.7857142857142858,0.38140694362450855,2.204954528964786,0.849046447394641,0.29602846372734465,0.06641970933141124,0.28041004922318,0.07912163997953348,0.8836902751698545,-0.11313372157200119,0.6709690676581921,123921530880,0.018597330601735622
VRT,0.7850082420705028,-0.2948520829614762,3.001425349445235,0.20516080938541853,-0.8515614326191453,2.0127802803908112,-0.08003472222222219,0.3013261296660117,-0.13157894736842102,1.3571428571428572,-0.7859133932619384,1.2286905514249509,-0.16183277383185407,0.5396988532105157,0.012343764966815024,0.031954224167893626,0.0158641790024704,-1.2449510911794015,-1.0315177574875531,-0.2782154491904812,123848196096,0.01852573958519262
CTVA,0.7695572559106286,-0.3208962710402369,0.2024154294739507,2.117261478061722,-0.011005139803786793,0.353765728809448,0.49350649350649345,-0.017094017094017144,0.7446808510638299,12.329166666666666,3.625797014102575,-0.7493461149015931,0.37417085843613007,5.218424154609776,0.022034753477601914,0.452279022688351,0.05495213086887163,-0.8634757555700613,0.5221571655081616,0.3083031706505393,53319131136,0.018395518644798815
CFG,0.700354911457287,-0.43754376886238805,0.6537720712663947,-0.005945507150302801,1.4532381702557693,0.6212914818779629,0.018413597733710985,0.0915991902834008,0.0,0.46753246753246747,-0.028643530475691154,-0.07414025320969005,-0.08134660540822711,0.1603483604923971,0.06514355816199274,0.8718431540216425,,0.8334559574735431,2.0730203830379956,,27597807616,0.01781228115568806
ALB,0.6933971585003548,-0.4492717598618553,3.0684187358677995,-0.8741387384756538,-0.1140885218910814,2.05248825074909,0.09190956921738236,0.1593861557034797,1.25,-11.782789968652038,0.5366915028259871,0.34695465697190786,0.6832719946162293,-5.06347310831674,,0.31072520559676997,0.019270765357168013,,-0.001077762917808104,-0.22709928086435469,23521970176,0.01775364120069072
C,0.6781078325416822,-0.47504345344470617,0.7732028347743004,-0.1377092669713526,1.3988299298220985,0.6920798607087606,-0.10975333785924413,0.0042887776983560055,1.5714285714285716,0.5612244897959184,-1.01451061051987,-0.616515474132729,0.8798882060510897,0.2003008107160989,0.06264519590280372,0.8690103354006219,,0.7351106152788845,2.0625492443653126,,225907064832,0.01762478273277647
SYF,0.6639342063597001,-0.4989345230646011,0.12864204484988997,-0.2512937860051181,2.1144543602343284,0.31003915330235543,-0.025046137621935194,-0.005379236148466915,0.11274509803921573,0.20105820105820116,-0.3629381923269864,-0.6765735014722513,-0.012381006190334921,0.046717555969100266,0.12586319179539135,0.5829837082870784,,3.223619003544074,1.005289716924583,,25861013504,0.017505327384676993
TPR,0.6573645380454186,-0.5100083584445441,1.4621039146752828,1.1514279715385518,-0.641438272077579,1.1004017133757102,0.4680276897805937,0.13983784276213895,1.09375,0.9420289855072466,3.429812662006915,0.22551987919090735,0.5876946696131724,0.36268467534321214,0.01761452789894616,0.018563528199020327,0.047346042413171946,-1.0374731794871161,-1.0810146908151395,0.19417305406951862,29975050240,0.017449958207777276
INTC,0.6147832115810645,-0.5817834583382183,1.3806406203015273,0.944823115235135,-0.4811141007934687,1.052117214695833,-0.007093754570718147,0.07184021473119118,5.083333333333333,2.8421052631578947,-0.22484747979916972,-0.19688367421808273,3.028102368024563,1.1729212469332297,,0.26925521449745465,-0.019433597645498426,,-0.15436609007494542,-0.807862111511992,427159715840,0.01709108270830891
TRV,0.6097971730661098,-0.5901879267331652,-0.16543650960276787,0.0388818929708723,1.955946135830225,0.13573444731904227,-0.04086229086229087,0.009652836579170154,-0.2965641952983725,3.5764705882352947,-0.48459690828568963,-0.5831937598676415,-0.26275340526936397,1.4860716453061844,0.11032461915941467,0.4953315496774451,0.20598613432513627,2.611959810614332,0.6812951268894626,2.57458346998688,64588693504,0.017049060366334173
BAC,0.6075330358289649,-0.5940043573111348,0.020953714505368048,0.3807871205913402,1.4208582723901864,0.2462106881717654,0.1100825975505555,0.2301258531581647,0.13265306122448983,0.2333333333333334,0.6764794309331668,0.7863920379101993,-0.0002034070382847582,0.060480420560279344,0.07638229030769841,0.7346380750425447,,1.275856555960934,1.5658599888194384,,375247077376,0.017029978213444326
CF,0.5975486095356952,-0.6108341100239906,0.8789368004012172,0.43548465155109,0.47822437665477846,0.7547499449838668,0.12839059674502717,0.22834645669291342,0.182648401826484,0.37037037037037046,0.8173055622891315,0.7753383671923993,0.03037848683278937,0.11891618989003981,0.07255520870941116,0.254849148545172,0.06886597076836774,1.125207606631779,-0.20761620400557662,0.5170817273381331,18991599616,0.016945829449880045
