permno,mcap,mom_12_1,z_mom,z_growth,z_value,combo,weight,asof
23712,31148.1865,-0.035134711969529775,-0.05586209759189049,1.5457746019584213,0.4773221565388639,0.6557448869684649,0.016535046275255393,2023-03-31
39490,11128.079940000001,0.09621425428286479,0.5973112979942887,-0.10531792131367443,1.4593777270674755,0.6504570345826965,0.016450973776747563,2023-03-31
81045,41824.18972,0.012151251825373244,0.1792819954048739,1.3929638588672812,0.31589021280475993,0.6293786890256383,0.01611584543992735,2023-03-31
52695,34577.573189999996,0.4181128996801071,2.198051960426987,0.1560168433233917,-0.4881535607761007,0.6219717476580926,0.015998081171630724,2023-03-31
18542,118160.38979999999,0.30489656136704535,1.6350486704758713,0.35808129852643955,-0.1871933333184914,0.6019788785612732,0.015680211016663195,2023-03-31
62308,10616.709959999998,0.21462208073794042,1.186130869828801,0.14950185268019947,0.4619946660978841,0.5992091295356281,0.015636174287980614,2023-03-31
79545,11498.17341,0.2459061799487401,1.3417007375817602,-0.089186259501488,0.4963450770972962,0.5829531850591895,0.015377718157204909,2023-03-31
13035,18875.106600000003,0.1687894471225031,0.9582139110479648,1.2203355518169736,-0.4636766750072055,0.5716242626192444,0.015197597619519132,2023-03-31
92121,25889.55656,-0.07241091991633541,-0.24122958097509284,0.8326892585829915,1.1140918124061052,0.5685171633380013,0.015148197299572787,2023-03-31
22752,270080.80288,0.43020306931615315,2.258174071622096,-0.21936159693131788,-0.35166507175653255,0.5623824676447485,0.015050660689832114,2023-03-31
22517,20472.28162,0.06775164976248615,0.455772186022303,0.9304177257934957,0.2992358941339997,0.5618086019832661,0.01504153669837983,2023-03-31
91937,174488.16864000002,0.1539656384021899,0.8844979332704049,0.7229662744573435,0.06597575113017586,0.5578133196193081,0.01497801499881684,2023-03-31
12872,54356.734,0.4520634225214534,2.7470543795516433,0.8841222733901759,2.0407702245326376,1.8906489591581523,0.03795684151133987,2023-04-28
85269,41455.15439,0.3380174780484668,2.12505415358959,0.2515573890986605,2.7033008258802718,1.6933041228561738,0.034542700421360574,2023-04-28
70519,91490.52384000001,-0.011227866802499098,0.2202895044183043,1.353571361910034,3.362954698619738,1.6456051883160254,0.033717490624066676,2023-04-28
86868,115197.67512,0.0868476253704018,0.7551877734868151,1.483168417384149,2.1653462414975237,1.467900810789496,0.030643136977163397,2023-04-28
90505,48798.70335,0.4520634225214534,2.7470543795516433,1.4233771796798544,-0.7043428345418431,1.1553629082298846,0.025236111816029163,2023-04-28
84262,17571.084300000002,0.4520634225214534,2.7470543795516433,-0.28876870263532617,0.951098084139967,1.1364612536854282,0.02490910596850816,2023-04-28
12369,45929.66392,-0.10985147887176261,-0.31759818002106677,0.028512289859703388,3.438114730832987,1.0496762802238746,0.023407692759831858,2023-04-28
17307,34064.7295,0.22250169856226631,1.4950375293718092,1.2558987330244553,0.3288524711253751,1.0265962445072132,0.023008399321123054,2023-04-28
20057,11186.74464,0.08299130289321854,0.7341556055892648,-1.2458515219240325,3.5818943448146148,1.023399476159949,0.022953094006963028,2023-04-28
13356,45926.793,0.23494461684572365,1.5629005123099797,0.08868264605073645,1.2726290743293456,0.9747374108966872,0.022111221680066524,2023-04-28
85663,24819.45072269,0.32318929572043986,2.044182073470828,0.3733072359997326,0.44551776155683065,0.9543356903424637,0.02175826411727596,2023-04-28
77274,102544.89013,0.3985932585997911,2.4554310851399803,0.6428333480579672,-0.2473150632214256,0.9503164566588408,0.021688729838464184,2023-04-28
14776,12647.130210000001,0.052529549412136056,0.5680188995802089,0.16347174634719652,2.114888084210683,0.9487929100460294,0.021662371899788053,2023-04-28
69032,151324.1418,0.14358174240433508,1.0646124862894937,0.776289656544556,0.9527668299523745,0.931222990928808,0.021358405584125623,2023-04-28
16431,16291.16424,0.4520634225214534,2.7470543795516433,0.5426297358498221,-0.49798646530647805,0.9305658833649959,0.021347037372135953,2023-04-28
11850,481760.36490000004,0.3777412573670229,2.341705432391189,-0.05361635698449457,0.4136936445457596,0.9005942399841512,0.020828516486977523,2023-04-28
54148,14989.491600000001,0.3195710602450732,2.024448418813822,-0.3976490615608671,0.9955956106944516,0.8741316559824689,0.020370703670183458,2023-04-28
13688,34011.00135,0.3082089336340059,1.9624800134299083,-0.03173445259006509,0.6820471726368188,0.8709309111588873,0.020315329561463397,2023-04-28
88661,9634.26156,0.2026515517104963,1.3867759345887924,0.5988258127383752,0.5901719399513393,0.8585912290928356,0.020101848345696893,2023-04-28
80191,21735.54225198,0.15594084170479872,1.1320183251652172,0.3315319163029604,1.0589351664180018,0.8408284692953932,0.019794545812566098,2023-04-28
46674,23650.24796,0.4286722556684479,2.6194802590047117,0.20847620368008443,-0.30862325270498847,0.8397777366599359,0.01977636773639993,2023-04-28
60506,39031.42551,0.2832571963748105,1.8263946288501745,0.3417602483727557,0.34121521033034585,0.8364566958510921,0.01971891246115968,2023-04-28
79545,11268.725030000001,0.3134863670181931,1.99126284102306,-0.061064155388371,0.5105976029914784,0.813598762875389,0.019323461484753477,2023-04-28
92322,27534.002260679998,0.3027973444947305,1.9329655078243153,0.9531887272399927,-0.45182260560426646,0.8114438764866806,0.019286181126666635,2023-04-28
13035,18755.37312,0.21937395632676204,1.4779789975123485,1.3619583309152874,-0.48184353207529496,0.7860312654507804,0.018846533243463023,2023-04-28
22623,25109.4114,0.3437099835932542,2.1561007616168197,0.5662905086659676,-0.4968976186500172,0.7418312172109234,0.018081855516381043,2023-04-28
77661,37456.417219999996,0.2557169131563022,1.676191458854694,0.03190019742247954,0.5154982052688536,0.7411966205153423,0.018070876751015055,2023-04-28
66093,125984.80290000001,0.10692184145381711,0.864671429373,-0.2586451940919093,1.6043100875411564,0.7367787742740823,0.017994446322612986,2023-04-28
41080,33228.77858625,0.21736232962110003,1.4670076975572726,0.6853491501690571,0.05468065407295933,0.7356791672664297,0.017975422701128858,2023-04-28
24328,12599.64212,-0.0223563763043364,0.15959523372985185,-1.430664134056544,3.4581040744933653,0.7290117247222243,0.01786007339692708,2023-04-28
92121,26275.79262,0.03912920942314502,0.49493419201224237,0.6346982116393939,1.0178136427938245,0.7158153488151536,0.017631771050296632,2023-04-28
32986,16491.5179,-0.03250269983987919,0.10425775056940002,1.7235899140607873,0.3110341079221945,0.7129605908507939,0.017582382646471603,2023-04-28
11533,18193.65459993,0.4520634225214534,2.7470543795516433,0.21382708379297308,-0.8405995540086262,0.7067606364453302,0.01747512106573634,2023-04-28
62308,10471.962959999999,0.21896892392064182,1.4757699733397407,0.14188885146067703,0.5015049257376937,0.7063879168460372,0.017468672874221262,2023-04-28
89866,15430.651699999999,0.2801556124487632,1.8094787629528242,0.1989197944183395,0.10946511219051779,0.7059545565205605,0.017461175574967316,2023-04-28
85072,4717.6394199999995,0.06738803722701481,0.6490562641354922,0.3016806127033562,1.100275018209194,0.6836706316826809,0.01707565515872194,2023-04-28
76082,19667.4304,-0.014729802651745949,0.2011901414413762,-0.18860158682597913,1.948680703739483,0.6537564194516267,0.016558127854404123,2023-04-28
52695,34894.660691670004,0.3116283519287697,1.9811293302629644,0.34540123502297326,-0.3727727951373561,0.6512525900495272,0.01651481064882533,2023-04-28
81045,41507.13964,-0.038160641347045554,0.07339965287727959,1.5767484742308944,0.2700914924667095,0.6400798731916278,0.0163215183771548,2023-04-28
41355,41671.058079999995,0.26259357511896186,1.7136963899980555,0.4322422532102512,-0.28379178971167046,0.6207156178322121,0.015986509358736564,2023-04-28
64186,75242.3244294,0.23334182182907548,1.554158957604699,-0.06661277890175338,0.34860199427114535,0.6120493909913637,0.015836580322300328,2023-04-28
57904,42762.79865,0.0851665528694101,0.7460192977439262,0.422321942050651,0.6654734123574674,0.6112715507173482,0.015823123388282085,2023-04-28
90829,14013.07344,-0.1529609813193108,-0.5527150040992609,0.36405889778892175,2.0086869054766705,0.6066769330554438,0.015743634746743736,2023-04-28
64282,8029.686600000001,-0.1256792097205368,-0.4039217420722892,1.0636925990701918,1.1444690870177814,0.6014133146718946,0.01565257213703984,2023-04-28
81696,2209.23923,-0.4747453343115641,-2.3077089339328927,0.0629208379940809,4.047466395462087,0.6008927665077585,0.015643566454855328,2023-04-28
38762,11739.97768,-0.10766292695601465,-0.30566193982931356,1.5288134007144272,0.5473898129719893,0.5901804246190343,0.015458238846099278,2023-04-28
60206,13731.09012,0.24221599327489884,1.6025581941583107,0.11941077540509186,0.0350303857937778,0.5856664517857267,0.015380145390916783,2023-04-28
88182,31077.58108,0.23638418943476647,1.5707518609906468,0.22776767608178217,-0.06190689866142116,0.578870879470336,0.015262579392704399,2023-04-28
40539,90845.48858,0.28595832330767523,1.8411264246221146,0.38191523702462726,-0.48912179195946726,0.5779732898957582,0.015247050750020212,2023-04-28
84381,32556.723750000005,0.07277236861515979,0.6784221074853539,1.5889902063597505,-0.5362609328511969,0.5770504603313025,0.015231085445864826,2023-04-28
83443,416110.35572029,0.017718774780449253,-0.0010275130377779625,2.5626361215270674,2.582188629514333,1.7145990793345407,0.035403286834998896,2023-05-31
70519,86280.04864,0.017260622679563742,-0.0030887880822979535,1.3427926831977786,3.3321697084981263,1.5572912012045357,0.032696747339274246,2023-05-31
86868,107679.90387552,0.15574994675055387,0.6199894147421148,1.4634909618133753,2.191189069646399,1.4248898154006298,0.03041873314045074,2023-05-31
12872,44511.52953,0.43152495091608123,1.8607304980856323,0.19380439687733642,2.1063201245504715,1.3869516731711469,0.029765993547500057,2023-05-31
89393,175695.94387540998,0.7162294628304979,3.141646386798498,1.6125107634370788,-0.6008494541154361,1.3844358987067134,0.029722708729020098,2023-05-31
90505,42134.26023000001,0.7162294628304979,3.141646386798498,1.3257857107593776,-0.6332596545874513,1.2780574809901413,0.027892429200332722,2023-05-31
54148,14750.64192,0.6306982338608502,2.7568322880275815,-0.4676766604795198,0.9404042606760491,1.0765199627413702,0.024424902592670824,2023-05-31
23712,29813.15875,-0.059557226191570334,-0.34870046277664873,2.3633783803442325,1.193099647509576,1.0692591883590534,0.02429997831761929,2023-05-31
77661,36440.02564,0.5965901953678205,2.6033765941055793,0.08237881353009596,0.49869881499581337,1.061484740877163,0.02416621610928422,2023-05-31
16431,16202.284800000001,0.7124394181351217,3.124594572492518,0.49518626850557956,-0.4853314295494706,1.0448164704828755,0.02387943242951026,2023-05-31
89533,11231.8626,0.6214543147249145,2.715242912377798,1.0753406283152829,-0.6811490751037735,1.036478155196436,0.023735968669660275,2023-05-31
89031,14253.155349999999,0.7162294628304979,3.141646386798498,0.4758076140305153,-0.8204220300723891,0.932343990252208,0.02194430232957442,2023-05-31
85269,38696.77968,0.06088168600272703,0.19316701663774147,0.1515051626674897,2.3674751429673173,0.9040491074241829,0.02145747853656857,2023-05-31
80191,22708.03608,-0.031454435249731016,-0.22226301648356395,1.7285166601527937,1.1873909749891662,0.8978815395527987,0.021351363278802087,2023-05-31
13688,33808.47932,0.35256963378078066,1.505502126266322,0.4166442339978394,0.7702316473784453,0.8974593358808689,0.02134409911042793,2023-05-31
12369,45053.88642999999,-0.12192393185972794,-0.6292949067489172,0.006127660966041816,3.2358696295146507,0.8709007945772584,0.02088714970750196,2023-05-31
11533,19686.23581014,0.7162294628304979,3.141646386798498,0.24782109161930596,-0.8240435704961669,0.8551413026405457,0.020616001892997615,2023-05-31
60506,35942.98362,0.4077548043213437,1.7537860796586213,0.3538237176589859,0.40912975022684966,0.838913182514819,0.02033679115934736,2023-05-31
69032,136548.52064,0.15621157718583256,0.6220663391831285,0.7826632313546144,1.0693010969513859,0.8246768891630429,0.020091850532804417,2023-05-31
77274,95971.33982,0.44334732498641816,1.9139206168061735,0.746571423480108,-0.2035171719615795,0.8189916227749007,0.019994033448204843,2023-05-31
11404,32332.182,0.09744106195685576,0.35765153859413285,1.0445651025182074,1.0543393327008432,0.8188519912710612,0.01999163103718461,2023-05-31
17307,31061.08134,0.19553427854007532,0.7989833561038213,1.2750514618059394,0.34860547715004664,0.8075467650199357,0.019797120490602275,2023-05-31
11850,413112.2073,0.43712698155797414,1.8859346299415194,-0.09447982140972097,0.5874714886757096,0.7929754324025028,0.01954641539112957,2023-05-31
52708,27184.163760000003,0.4986388575146228,2.1626831040966854,-0.743562676202459,0.9525881457118424,0.7905695245353562,0.019505020867581768,2023-05-31
86136,45162.145090000005,-0.007317181872135703,-0.11366694558411813,1.8561900132301594,0.6091870651930028,0.7839033776130147,0.019390327375150895,2023-05-31
12060,110562.1088,0.7162294628304979,3.141646386798498,-2.160253756395168,1.3365940905343259,0.7726622403125519,0.01919691950237149,2023-05-31
